School,G,W_Tot,L_Tot,W_L_Percentage,Simple_Rating_System,Strength_Of_Schedule,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Tm_Pts,Opp_Pts,MP,FG,FGA,FG_Percentage,ThreeP,ThreePA,ThreeP_Percentage,FT,FTA,FT_Percentage,ORB,TRB,AST,STL,BLK,TOV,PF,Season
Marist,30,14,16,.467,-4.26,-4.86,9,11,7,6,7,9,2063,2045,1215,763,1737,.439,225,654,.344,312,434,.719,274,1054,269,175,101,371,467,2022
Marquette NCAA,32,19,13,.594,11.36,8.96,11,8,13,3,4,7,2369,2292,1290,861,1915,.450,275,800,.344,372,502,.741,251,1113,511,249,165,396,556,2022
Marshall,33,12,21,.364,-4.57,0.14,4,14,8,9,3,11,2442,2523,1320,919,2107,.436,250,830,.301,354,502,.705,356,1226,471,223,160,433,511,2022
Maryland,32,15,17,.469,9.34,9.12,7,13,10,8,3,7,2270,2263,1290,790,1824,.433,221,678,.326,469,618,.759,303,1126,372,204,102,366,485,2022
Maryland-Baltimore County,32,18,14,.563,-6.06,-6.51,11,7,11,4,6,10,2359,2307,1285,813,1832,.444,294,778,.378,439,560,.784,236,1048,396,153,66,351,427,2022
Maryland-Eastern Shore,27,11,16,.407,-13.10,-7.14,6,8,6,4,5,11,1778,1792,1090,631,1562,.404,209,665,.314,307,477,.644,292,935,336,272,61,416,453,2022
Massachusetts,32,15,17,.469,-0.67,1.70,7,11,10,5,3,8,2422,2498,1295,823,1901,.433,304,819,.371,472,623,.758,335,1079,437,207,83,371,546,2022
Massachusetts-Lowell,31,15,16,.484,-7.08,-6.65,7,11,8,6,6,9,2191,2040,1250,831,1867,.445,183,598,.306,346,493,.702,324,1113,362,227,129,386,495,2022
McNeese State,33,11,22,.333,-11.76,-5.04,4,10,6,5,2,13,2579,2555,1350,933,2071,.451,213,681,.313,500,759,.659,458,1336,418,257,116,536,662,2022
Memphis NCAA,33,22,11,.667,14.67,7.86,13,5,13,2,5,6,2480,2255,1320,889,1895,.469,205,577,.355,497,716,.694,413,1280,522,277,180,527,621,2022
Mercer,33,16,17,.485,-3.41,-1.15,8,10,10,4,4,11,2325,2328,1330,828,1811,.457,268,764,.351,401,521,.770,260,1087,473,203,98,408,502,2022
Merrimack,30,14,16,.467,-10.86,-6.82,9,8,7,7,7,9,1843,1931,1210,673,1600,.421,214,647,.331,283,419,.675,224,855,346,271,120,353,478,2022
Miami (FL) NCAA,37,26,11,.703,11.22,7.62,14,6,10,5,10,2,2736,2603,1485,1011,2136,.473,257,759,.339,457,616,.742,269,1132,523,328,118,352,550,2022
Miami (OH),32,14,18,.438,-6.35,-4.14,8,12,9,8,5,9,2408,2351,1290,870,1980,.439,292,844,.346,376,478,.787,315,1107,440,177,101,332,512,2022
Michigan NCAA,34,19,15,.559,14.26,11.02,11,9,10,5,5,7,2470,2360,1360,914,1957,.467,213,628,.339,429,575,.746,337,1215,481,160,112,396,516,2022
Michigan State NCAA,36,23,13,.639,13.18,9.96,11,9,12,3,5,6,2601,2485,1440,939,2059,.456,262,694,.378,461,615,.750,363,1329,565,205,181,459,609,2022
Middle Tennessee,37,26,11,.703,4.50,-1.16,13,5,15,0,5,9,2771,2486,1510,963,2140,.450,302,914,.330,543,718,.756,381,1306,460,295,156,477,680,2022
Milwaukee,32,10,22,.313,-13.19,-6.32,8,14,6,10,4,10,2073,2264,1280,762,1805,.422,199,628,.317,350,488,.717,286,1149,366,157,119,423,541,2022
Minnesota,30,13,17,.433,5.93,8.13,4,16,8,7,3,9,2010,2076,1210,744,1699,.438,234,636,.368,288,401,.718,180,920,379,160,83,276,422,2022
Mississippi,32,13,19,.406,6.72,7.25,4,14,10,8,2,7,2180,2197,1295,793,1824,.435,222,680,.326,372,523,.711,296,1070,422,227,89,391,486,2022
Mississippi State,34,18,16,.529,11.83,7.60,8,10,14,3,1,10,2396,2252,1375,860,1891,.455,157,532,.295,519,720,.721,384,1234,455,269,113,447,534,2022
Mississippi Valley State,28,2,26,.071,-22.15,-6.40,2,16,0,11,2,15,1882,2323,1145,665,1722,.386,199,653,.305,353,539,.655,269,887,324,207,69,375,508,2022
Missouri,33,12,21,.364,2.94,9.10,5,13,8,8,2,10,2160,2325,1325,790,1854,.426,171,609,.281,409,556,.736,361,1155,399,215,134,476,587,2022
