School,G,W_Tot,L_Tot,W_L_Percentage,Simple_Rating_System,Strength_Of_Schedule,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Tm_Pts,Opp_Pts,MP,FG,FGA,FG_Percentage,ThreeP,ThreePA,ThreeP_Percentage,FT,FTA,FT_Percentage,ORB,TRB,AST,STL,BLK,TOV,PF,Season
Abilene Christian,30,13,17,.433,-2.79,0.90,5,11,9,5,4,8,2249,2133,1210,812,1800,.451,211,613,.344,414,573,.723,307,972,471,264,71,379,617,2023
Air Force,32,14,18,.438,2.00,2.12,5,13,10,9,4,9,2142,2146,1295,756,1636,.462,261,733,.356,369,511,.722,213,946,491,184,127,391,544,2023
Akron,33,22,11,.667,4.19,-1.65,13,5,15,1,5,6,2463,2209,1330,844,1898,.445,300,845,.355,475,643,.739,335,1178,443,199,87,370,529,2023
Alabama NCAA,37,31,6,.838,23.19,9.65,16,2,15,0,9,3,3027,2526,1510,1023,2314,.442,366,1093,.335,615,848,.725,484,1652,555,224,189,512,691,2023
Alabama A&M,33,15,18,.455,-10.78,-7.71,10,8,9,8,5,8,2297,2340,1336,823,1868,.441,226,610,.370,425,649,.655,334,1079,419,264,133,498,624,2023
Alabama State,31,8,23,.258,-16.33,-6.29,6,12,5,5,2,18,1963,2252,1245,683,1821,.375,185,605,.306,412,584,.705,387,1117,309,182,110,414,557,2023
Albany (NY),31,8,23,.258,-14.36,-4.53,3,13,5,6,2,16,2086,2332,1245,726,1755,.414,237,725,.327,397,550,.722,317,1033,363,178,51,414,576,2023
Alcorn State,32,18,14,.563,-8.74,-5.81,15,3,7,2,10,10,2165,2259,1301,763,1868,.408,164,554,.296,475,659,.721,384,1087,316,257,80,404,605,2023
American,32,17,15,.531,-8.26,-7.73,7,11,8,6,9,9,2093,2110,1300,785,1630,.482,204,589,.346,319,455,.701,259,970,436,238,126,448,482,2023
Appalachian State,32,16,16,.500,-1.50,-0.98,9,9,10,7,6,7,2248,2067,1290,819,1854,.442,243,726,.335,367,543,.676,288,1142,417,204,146,352,442,2023
Arizona NCAA,35,28,7,.800,19.08,8.34,14,6,15,2,6,4,2866,2490,1400,1023,2072,.494,295,781,.378,525,742,.708,356,1376,662,213,110,468,593,2023
Arizona State NCAA,36,23,13,.639,11.29,8.18,11,9,10,5,7,6,2559,2447,1455,910,2163,.421,274,851,.322,465,675,.689,395,1315,515,255,170,422,668,2023
Arkansas NCAA,36,22,14,.611,15.99,9.87,8,10,14,3,2,8,2666,2446,1445,961,2063,.466,179,572,.313,565,810,.698,373,1272,462,302,182,458,694,2023
Arkansas State,33,13,20,.394,-8.07,-3.30,4,14,10,8,2,11,2169,2232,1325,777,1799,.432,209,593,.352,406,600,.677,325,1108,433,220,108,385,553,2023
Arkansas-Pine Bluff,31,10,21,.323,-12.99,-5.36,6,12,8,5,2,16,2074,2162,1250,701,1791,.391,245,776,.316,427,587,.727,314,1071,396,250,86,473,611,2023
Army,33,17,16,.515,-7.13,-7.58,10,8,10,5,7,8,2412,2322,1330,885,1853,.478,252,718,.351,390,570,.684,280,1132,432,168,70,427,532,2023
Auburn NCAA,34,21,13,.618,14.35,9.29,10,8,14,2,4,8,2474,2302,1365,875,1991,.439,221,701,.315,503,723,.696,396,1231,479,263,172,414,655,2023
Austin Peay,31,9,22,.290,-12.17,-2.60,3,15,7,8,1,13,2067,2241,1245,743,1790,.415,222,690,.322,359,495,.725,312,972,387,220,94,364,525,2023
Ball State,32,20,12,.625,-1.20,-3.50,11,7,12,2,6,7,2445,2292,1285,841,1785,.471,240,651,.369,523,759,.689,337,1147,422,176,123,391,525,2023
Baylor NCAA,34,23,11,.676,17.30,10.54,11,7,14,3,5,5,2619,2389,1365,880,1957,.450,323,878,.368,536,720,.744,391,1155,483,223,82,413,590,2023
Bellarmine,33,15,18,.455,-7.42,-1.35,9,9,8,6,6,12,2187,2216,1330,797,1738,.459,264,752,.351,329,436,.755,217,960,467,184,45,368,522,2023
Belmont,32,21,11,.656,1.88,-1.93,14,6,12,2,7,7,2447,2299,1290,898,1902,.472,307,791,.388,344,474,.726,267,1055,488,225,101,365,499,2023
Bethune-Cookman,32,12,20,.375,-17.15,-7.82,8,10,8,5,3,13,2172,2401,1285,772,1863,.414,219,606,.361,409,586,.698,321,1038,362,231,90,413,555,2023
Binghamton,31,13,18,.419,-10.44,-5.51,8,8,8,7,5,11,2133,2217,1260,794,1763,.450,172,533,.323,373,523,.713,301,1086,361,144,98,404,558,2023
Boise State NCAA,34,24,10,.706,12.78,6.21,13,5,14,1,6,6,2451,2198,1375,878,1938,.453,265,733,.362,430,587,.733,307,1215,385,171,97,379,555,2023
Boston College,33,16,17,.485,1.09,4.73,9,11,9,7,4,7,2197,2317,1330,819,1873,.437,188,590,.319,371,512,.725,308,1093,413,210,118,405,521,2023
Boston University,32,15,17,.469,-8.10,-6.52,8,10,9,4,6,11,2147,2151,1300,761,1845,.412,238,722,.330,387,524,.739,328,1136,335,205,79,384,561,2023
Bowling Green State,31,11,20,.355,-8.46,-3.81,5,13,7,9,4,11,2355,2434,1240,840,1859,.452,224,658,.340,451,622,.725,326,1109,428,188,93,378,550,2023
Bradley,35,25,10,.714,6.51,-0.67,16,4,15,1,8,6,2473,2195,1405,917,1989,.461,276,777,.355,363,546,.665,341,1240,465,238,136,409,565,2023
Brigham Young,34,19,15,.559,9.43,5.40,7,9,12,4,2,7,2568,2376,1365,913,2008,.455,276,812,.340,466,650,.717,374,1272,501,251,135,481,659,2023
Brown,27,14,13,.519,-2.47,-2.69,7,7,7,5,7,8,1878,1872,1086,682,1557,.438,216,622,.347,298,464,.642,241,942,372,194,87,361,438,2023
Bryant,30,17,13,.567,-3.59,-4.52,8,8,9,4,7,8,2381,2193,1205,848,1821,.466,243,714,.340,442,602,.734,318,1179,403,200,106,402,518,2023
Bucknell,32,12,20,.375,-9.93,-6.96,5,13,7,7,3,13,2161,2192,1290,797,1749,.456,235,660,.356,332,463,.717,260,1084,429,176,121,427,498,2023
Buffalo,32,15,17,.469,-2.97,0.67,9,9,11,4,3,9,2481,2485,1285,906,2000,.453,224,696,.322,445,632,.704,377,1208,470,254,102,452,602,2023
Butler,32,14,18,.438,5.85,8.54,6,14,10,6,3,10,2088,2174,1280,771,1767,.436,207,633,.327,339,459,.739,207,958,403,216,138,378,429,2023
Cal Poly,33,8,25,.242,-7.51,-0.54,1,18,6,11,1,13,2006,2174,1330,715,1733,.413,181,615,.294,395,531,.744,281,1080,341,181,82,457,653,2023
Cal State Bakersfield,33,11,22,.333,-8.34,-1.47,6,14,6,8,3,12,1995,2134,1340,732,1770,.414,142,437,.325,389,512,.760,311,1055,355,205,100,424,621,2023
Cal State Fullerton,33,20,13,.606,1.73,-0.27,12,6,11,2,7,8,2283,2148,1360,779,1812,.430,253,686,.369,472,681,.693,303,1108,340,214,85,391,590,2023
Cal State Northridge,32,7,25,.219,-10.40,-1.74,4,16,7,8,0,14,2028,2194,1285,695,1735,.401,184,575,.320,454,612,.742,313,1066,314,201,99,400,605,2023
California,32,3,29,.094,-3.36,8.43,2,18,3,14,0,12,1866,2243,1290,662,1694,.391,156,524,.298,386,534,.723,278,1007,308,151,100,417,548,2023
California Baptist,33,17,16,.515,0.21,-0.69,7,10,12,5,4,8,2291,2156,1330,811,1898,.427,276,837,.330,393,592,.664,362,1227,471,146,103,379,569,2023
Campbell,34,16,18,.471,-5.23,-4.89,8,10,8,6,4,10,2374,2329,1385,830,1777,.467,228,683,.334,486,691,.703,267,1066,416,212,97,404,554,2023
Canisius,30,10,20,.333,-7.05,-3.46,8,12,7,7,3,12,2111,2169,1225,763,1809,.422,255,734,.347,328,448,.732,313,1008,431,168,79,357,469,2023
Central Arkansas,31,9,22,.290,-13.72,-3.15,4,14,6,8,2,13,2261,2527,1255,818,1987,.412,264,818,.323,361,482,.749,347,1128,384,202,98,413,508,2023
Central Connecticut State,32,10,22,.313,-13.68,-9.49,7,9,6,7,4,14,2111,2245,1295,791,1874,.422,219,669,.327,310,437,.709,324,1092,412,179,122,380,451,2023
Central Michigan,31,10,21,.323,-11.97,-2.62,5,13,6,8,3,12,2038,2263,1245,702,1688,.416,191,637,.300,443,642,.690,343,1096,333,181,118,494,614,2023
Charleston Southern,31,10,21,.323,-9.44,-4.47,5,13,6,8,3,12,2251,2305,1245,819,1850,.443,251,731,.343,362,498,.727,360,1091,373,157,81,365,562,2023
Charlotte,36,22,14,.611,3.90,-0.46,9,11,11,4,5,8,2410,2253,1465,885,1871,.473,291,772,.377,349,465,.751,231,1066,469,199,90,382,489,2023
Chattanooga,35,18,17,.514,-2.34,-3.34,7,11,9,7,6,9,2702,2523,1405,924,2042,.452,398,1057,.377,456,639,.714,335,1268,536,200,121,407,552,2023
Chicago State,31,11,20,.355,-11.29,-3.51,,,8,0,3,20,2180,2264,1245,760,1757,.433,256,755,.339,404,555,.728,365,1090,379,175,83,422,561,2023
Cincinnati,36,23,13,.639,11.77,4.97,11,7,16,3,5,7,2776,2495,1450,1022,2281,.448,314,894,.351,418,592,.706,403,1341,559,226,142,384,570,2023
Clemson,34,23,11,.676,10.53,3.71,14,6,15,2,5,6,2540,2308,1370,899,1923,.467,282,775,.364,460,586,.785,252,1196,485,175,107,376,589,2023
Cleveland State,35,21,14,.600,-2.60,-5.05,14,6,13,3,7,9,2512,2405,1425,958,2110,.454,178,580,.307,418,614,.681,438,1242,465,242,119,406,582,2023
Coastal Carolina,31,11,20,.355,-8.93,-1.75,5,13,8,8,3,11,2273,2294,1250,816,1880,.434,223,705,.316,418,533,.784,349,1153,383,188,99,379,497,2023
Colgate NCAA,35,26,9,.743,2.20,-5.86,17,1,14,2,11,4,2733,2426,1400,1042,2038,.511,286,709,.403,363,549,.661,279,1179,637,248,100,357,438,2023
College of Charleston NCAA,35,31,4,.886,8.40,-4.02,16,2,17,1,11,2,2804,2353,1410,959,2202,.436,348,1051,.331,538,723,.744,472,1411,478,259,109,418,590,2023
Colorado,35,18,17,.514,11.17,8.39,8,12,13,5,2,9,2445,2348,1400,894,2059,.434,229,712,.322,428,616,.695,388,1300,454,261,128,463,566,2023
Colorado State,33,15,18,.455,5.64,5.86,6,12,9,7,4,8,2391,2355,1336,873,1790,.488,251,689,.364,394,529,.745,197,1014,545,187,81,368,537,2023
Columbia,29,7,22,.241,-14.37,-2.37,2,12,6,9,1,13,1966,2197,1170,696,1728,.403,226,714,.317,348,487,.715,296,998,340,196,58,401,485,2023
Connecticut NCAA,39,31,8,.795,22.95,8.51,13,7,15,2,6,5,3064,2501,1560,1082,2333,.464,353,973,.363,547,719,.761,507,1534,684,245,190,503,692,2023
Coppin State,32,9,23,.281,-14.76,-3.60,4,10,4,6,5,16,2304,2661,1300,779,1790,.435,268,793,.338,478,665,.719,206,973,361,246,81,477,629,2023
Cornell,28,17,11,.607,0.63,-2.41,7,7,11,2,6,8,2287,2129,1125,816,1738,.470,300,851,.353,355,490,.724,291,964,489,272,63,348,466,2023
Creighton NCAA,37,24,13,.649,17.83,9.80,14,6,13,2,5,6,2828,2531,1490,1014,2164,.469,319,902,.354,481,614,.783,306,1369,581,185,152,429,486,2023
Dartmouth,28,10,18,.357,-7.98,-2.52,6,8,7,5,3,11,1998,2027,1135,719,1626,.442,228,685,.333,332,475,.699,236,976,360,153,113,404,476,2023
Davidson,32,16,16,.500,1.99,1.47,8,10,7,8,6,6,2236,2197,1295,785,1774,.443,216,664,.325,450,602,.748,265,1054,420,172,41,347,485,2023
Dayton,34,22,12,.647,8.71,1.09,12,6,14,2,5,6,2334,2075,1370,833,1784,.467,225,665,.338,443,634,.699,321,1229,518,163,149,411,470,2023
Delaware,33,17,16,.515,-5.57,-3.72,8,10,10,5,4,10,2298,2333,1330,816,1859,.439,218,680,.321,448,616,.727,286,1069,389,228,131,374,540,2023
Delaware State,30,6,24,.200,-17.70,-4.95,4,10,4,8,2,14,1939,2265,1210,714,1725,.414,171,542,.315,340,494,.688,336,1047,372,209,79,481,551,2023
Denver,32,15,17,.469,-9.56,-5.89,6,12,9,5,4,11,2325,2402,1300,835,1716,.487,144,442,.326,511,713,.717,290,1126,363,177,98,479,544,2023
DePaul,33,10,23,.303,2.90,9.03,3,17,7,8,2,12,2349,2551,1340,838,1961,.427,273,742,.368,400,541,.739,305,1070,457,211,156,427,604,2023
Detroit Mercy,33,14,19,.424,-3.21,-3.61,9,11,9,5,5,13,2527,2486,1330,876,2024,.433,338,875,.386,437,569,.768,433,1212,413,202,64,390,529,2023
Drake NCAA,35,27,8,.771,7.84,-1.14,15,5,14,1,6,6,2617,2236,1430,952,2032,.469,278,751,.370,435,567,.767,278,1250,478,187,92,368,522,2023
Drexel,32,17,15,.531,-2.27,-5.43,10,8,12,3,3,9,2135,1997,1305,773,1794,.431,229,725,.316,360,527,.683,330,1120,374,180,103,373,464,2023
Duke NCAA,36,27,9,.750,15.83,7.44,14,6,16,0,4,6,2592,2290,1445,936,2072,.452,245,731,.335,475,620,.766,432,1392,526,204,163,432,549,2023
Duquesne,33,20,13,.606,3.48,-0.16,10,8,16,4,3,7,2472,2352,1322,897,2052,.437,302,826,.366,376,542,.694,410,1177,505,266,124,395,614,2023
East Carolina,33,16,17,.485,-0.29,1.41,6,12,10,6,2,9,2271,2327,1320,769,1896,.406,249,788,.316,484,704,.688,403,1223,433,214,87,435,583,2023
East Tennessee State,32,12,20,.375,-6.00,-4.44,8,10,7,9,4,9,2211,2208,1285,821,1814,.453,203,633,.321,366,546,.670,343,1122,390,195,99,420,491,2023
East Texas A&M,33,13,20,.394,-11.09,-7.53,9,9,5,5,7,13,2362,2421,1345,859,1890,.454,278,868,.320,366,522,.701,303,1063,474,191,101,423,618,2023
Eastern Illinois,31,9,22,.290,-14.09,-6.75,5,13,6,9,3,12,2134,2235,1245,797,1800,.443,162,493,.329,378,593,.637,288,1052,449,260,105,419,559,2023
Eastern Kentucky,37,23,14,.622,-1.47,-1.62,12,6,14,2,5,10,2909,2720,1505,1098,2487,.441,318,927,.343,395,599,.659,503,1481,552,296,176,444,586,2023
Eastern Michigan,31,8,23,.258,-11.05,-1.88,5,13,6,7,2,13,2239,2505,1250,803,1827,.440,192,608,.316,441,575,.767,270,974,299,194,67,367,587,2023
Eastern Washington,34,23,11,.676,1.47,-1.62,16,2,11,2,10,7,2607,2429,1360,931,1901,.490,300,837,.358,445,589,.756,305,1222,523,176,107,461,591,2023
Elon,32,8,24,.250,-12.85,-4.38,6,12,5,9,3,12,2094,2291,1280,762,1791,.425,218,722,.302,352,497,.708,281,1079,389,196,69,395,515,2023
Evansville,32,5,27,.156,-15.14,-1.54,1,19,3,10,1,14,1997,2432,1280,729,1839,.396,199,618,.322,340,540,.630,252,1004,328,224,62,392,520,2023
Fairfield,31,13,18,.419,-6.98,-4.51,9,11,7,6,4,10,2012,2045,1255,690,1681,.410,178,621,.287,454,627,.724,305,1045,296,170,114,367,472,2023
FDU NCAA,37,21,16,.568,-8.98,-9.83,10,6,10,5,8,9,2863,2744,1495,1045,2312,.452,302,876,.345,471,626,.752,427,1271,545,295,74,425,696,2023
Florida,33,16,17,.485,10.90,8.26,9,9,10,6,4,7,2351,2264,1325,830,1904,.436,220,701,.314,471,657,.717,278,1143,406,225,171,371,533,2023
Florida A&M,29,7,22,.241,-17.81,-4.99,5,13,4,7,3,15,1700,2030,1165,595,1536,.387,167,533,.313,343,496,.692,295,953,280,191,105,464,551,2023
Florida Atlantic NCAA,39,35,4,.897,13.92,2.30,18,2,17,0,11,3,3035,2547,1570,1084,2326,.466,375,1024,.366,492,684,.719,425,1519,562,252,100,460,613,2023
Florida Gulf Coast,32,17,15,.531,-2.63,-3.08,7,11,8,5,6,9,2280,2222,1290,805,1844,.437,295,832,.355,375,507,.740,301,1107,409,219,104,365,497,2023
Florida International,32,14,18,.438,-2.71,0.32,8,12,11,7,3,10,2339,2404,1300,867,1861,.466,219,671,.326,386,541,.713,275,1008,397,290,128,473,547,2023
Florida State,32,9,23,.281,-0.38,6.50,7,13,5,11,4,7,2219,2439,1280,802,1840,.436,209,633,.330,406,559,.726,278,1006,430,197,125,388,519,2023
Fordham,33,25,8,.758,2.26,-2.14,12,6,18,2,6,5,2376,2231,1330,797,1901,.419,252,792,.318,530,715,.741,356,1219,418,238,160,446,647,2023
Fresno State,31,11,20,.355,2.60,5.10,6,12,7,7,4,9,1974,2036,1240,720,1673,.430,210,681,.308,324,420,.771,248,938,382,196,103,359,499,2023
Furman NCAA,36,28,8,.778,4.89,-2.90,15,3,14,2,8,3,2911,2563,1455,1016,2129,.477,340,988,.344,539,727,.741,351,1262,600,238,115,397,604,2023
Gardner-Webb,31,15,16,.484,-3.84,-4.64,10,8,8,5,6,10,2192,2032,1260,813,1741,.467,196,583,.336,370,592,.625,310,1097,399,222,146,403,594,2023
George Mason,33,20,13,.606,1.73,0.27,11,7,14,2,4,7,2268,2220,1330,800,1774,.451,240,685,.350,428,657,.651,302,1180,452,152,103,453,568,2023
George Washington,32,16,16,.500,-1.93,-0.61,10,8,11,6,5,6,2441,2455,1305,869,1849,.470,228,710,.321,475,644,.738,284,1118,406,182,109,403,526,2023
Georgetown,32,7,25,.219,-1.07,7.52,2,18,5,12,1,11,2225,2500,1290,818,1934,.423,185,599,.309,404,563,.718,345,1151,380,197,146,392,462,2023
Georgia,32,16,16,.500,1.80,4.80,6,12,13,4,1,10,2193,2289,1285,728,1774,.410,215,678,.317,522,718,.727,347,1145,358,202,85,423,513,2023
Georgia Southern,33,17,16,.515,-3.25,-2.02,9,9,12,4,3,11,2257,2201,1325,840,1926,.436,207,659,.314,370,539,.686,325,1165,343,232,94,378,551,2023
Georgia State,31,10,21,.323,-6.79,-0.93,3,15,10,9,0,11,2068,2150,1245,745,1789,.416,164,556,.295,414,581,.713,343,1070,342,179,111,400,528,2023
Georgia Tech,33,15,18,.455,2.08,4.89,6,14,11,6,3,9,2301,2335,1325,855,2019,.423,259,773,.335,332,477,.696,349,1155,463,197,134,349,524,2023
Gonzaga NCAA,37,31,6,.838,18.99,8.04,14,2,15,1,7,2,3187,2715,1485,1188,2282,.521,279,737,.379,532,768,.693,383,1376,602,268,127,397,613,2023
Grambling,33,24,9,.727,-4.03,-8.48,15,3,11,1,9,6,2276,2054,1325,811,1785,.454,174,489,.356,480,745,.644,364,1196,405,242,136,475,624,2023
Grand Canyon NCAA,36,24,12,.667,4.43,1.27,10,7,14,4,5,5,2706,2421,1450,933,2018,.462,323,843,.383,517,722,.716,364,1317,452,177,115,430,648,2023
Green Bay,32,3,29,.094,-20.30,-3.14,2,18,2,10,1,17,1898,2447,1285,656,1665,.394,218,724,.301,368,524,.702,235,905,350,162,76,447,541,2023
Hampton,32,8,24,.250,-15.25,-4.71,5,13,7,6,1,13,2183,2481,1285,759,1934,.392,228,709,.322,437,636,.687,335,1098,352,138,101,354,587,2023
Hartford,28,5,23,.179,-23.12,-7.96,,,5,10,0,11,1757,1991,1120,659,1543,.427,206,620,.332,233,362,.644,255,886,364,179,105,403,395,2023
Harvard,28,14,14,.500,-0.71,-2.02,5,9,5,7,8,6,1914,1858,1130,700,1593,.439,184,596,.309,330,493,.669,299,1015,370,211,107,381,408,2023
Hawaii,33,22,11,.667,2.36,-2.17,13,7,13,5,6,4,2208,2039,1335,772,1799,.429,220,667,.330,444,594,.747,320,1165,367,151,125,401,528,2023
High Point,31,14,17,.452,-9.88,-5.23,6,12,10,5,2,11,2312,2392,1241,813,1834,.443,234,720,.325,452,722,.626,362,1179,383,203,152,438,573,2023
Hofstra,35,25,10,.714,4.96,-2.30,16,2,11,2,11,5,2619,2324,1415,1001,2084,.480,303,826,.367,314,425,.739,271,1181,504,218,148,376,503,2023
Holy Cross,32,10,22,.313,-14.27,-6.40,7,11,6,9,4,11,2136,2324,1285,812,1862,.436,219,599,.366,293,471,.622,255,1040,398,203,89,387,514,2023
Houston NCAA,37,33,4,.892,22.20,4.79,17,1,16,2,11,0,2770,2126,1480,1010,2203,.458,284,835,.340,466,636,.733,474,1441,544,293,182,370,618,2023
Houston Christian,32,10,22,.313,-17.18,-6.94,7,11,8,8,2,13,2482,2658,1285,851,1863,.457,265,726,.365,515,717,.718,330,1097,474,184,88,489,575,2023
Howard NCAA,35,22,13,.629,-5.04,-5.14,11,3,12,2,6,8,2634,2542,1405,934,2038,.458,282,754,.374,484,679,.713,407,1252,523,252,109,573,614,2023
Idaho,32,10,22,.313,-8.70,-3.86,4,14,6,10,4,11,2335,2332,1296,824,1747,.472,217,638,.340,470,617,.762,222,979,381,164,57,362,539,2023
Idaho State,32,11,21,.344,-6.56,-2.96,8,10,7,7,4,12,2213,2272,1310,794,1785,.445,245,725,.338,380,517,.735,259,1005,392,185,90,370,564,2023
Illinois NCAA,33,20,13,.606,14.81,7.65,11,9,15,2,3,7,2452,2216,1335,874,1946,.449,251,815,.308,453,667,.679,366,1248,409,229,186,426,559,2023
Illinois State,32,11,21,.344,-7.38,-3.38,6,14,8,7,3,9,2127,2255,1300,737,1699,.434,232,690,.336,421,531,.793,280,1045,345,183,105,466,590,2023
Illinois-Chicago,32,12,20,.375,-8.83,-3.12,4,16,7,8,3,11,2149,2292,1290,747,1794,.416,255,774,.329,400,611,.655,269,1037,421,206,150,410,560,2023
Incarnate Word,31,12,19,.387,-15.06,-8.28,6,12,7,7,3,12,2194,2290,1255,776,1756,.442,194,557,.348,448,600,.747,284,976,382,259,88,425,532,2023
Indiana NCAA,35,23,12,.657,14.94,8.88,12,8,15,2,5,7,2616,2404,1405,994,2044,.486,200,544,.368,428,602,.711,321,1250,533,203,177,402,599,2023
Indiana State,36,23,13,.639,4.86,-4.02,13,7,11,4,7,6,2855,2507,1450,1008,2088,.483,340,959,.355,499,647,.771,249,1245,570,235,69,434,587,2023
Iona NCAA,35,27,8,.771,7.61,-2.76,17,3,11,1,8,4,2660,2297,1405,979,2135,.459,247,683,.362,453,619,.732,389,1245,520,261,192,367,568,2023
Iowa NCAA,33,19,14,.576,14.08,8.69,11,9,14,3,4,7,2642,2464,1335,941,2077,.453,265,779,.340,495,671,.738,398,1207,541,216,112,325,488,2023
Iowa State NCAA,33,19,14,.576,15.36,10.39,9,9,13,3,3,8,2231,2067,1330,834,1882,.443,211,637,.331,352,525,.670,380,1111,457,290,96,427,633,2023
IU Indy,32,5,27,.156,-19.00,-5.57,2,18,4,9,0,15,2089,2456,1285,786,1718,.458,146,492,.297,371,537,.691,297,1011,358,185,81,506,570,2023
Jackson State,33,14,19,.424,-11.36,-5.39,12,6,7,2,6,14,2232,2429,1338,800,1911,.419,207,650,.318,425,630,.675,384,1137,406,248,82,514,571,2023
Jacksonville,29,13,16,.448,-6.19,-2.54,6,12,7,6,6,10,1837,1816,1160,686,1519,.452,200,588,.340,265,353,.751,220,968,376,148,69,333,409,2023
Jacksonville State,31,13,18,.419,-6.67,-2.60,6,12,9,5,3,12,2166,2178,1245,747,1705,.438,281,747,.376,391,559,.699,318,1117,381,172,74,410,510,2023
James Madison,33,22,11,.667,4.96,-2.31,12,6,11,3,8,6,2658,2246,1340,933,2019,.462,263,751,.350,529,748,.707,393,1257,444,298,87,435,583,2023
Kansas NCAA,36,28,8,.778,19.20,11.84,13,5,15,1,7,4,2715,2450,1450,1002,2142,.468,251,724,.347,460,639,.720,353,1294,590,317,139,444,597,2023
Kansas City,32,11,21,.344,-9.78,-3.28,7,11,6,8,3,11,2060,2199,1295,723,1844,.392,188,665,.283,426,598,.712,430,1183,300,192,117,432,585,2023
Kansas State NCAA,36,26,10,.722,15.79,9.48,11,7,16,1,4,7,2742,2515,1465,961,2083,.461,258,752,.343,562,751,.748,355,1247,611,289,100,498,644,2023
Kennesaw State NCAA,35,26,9,.743,0.60,-2.06,15,3,15,1,10,6,2626,2415,1415,931,2021,.461,286,783,.365,478,723,.661,337,1234,502,276,96,434,631,2023
Kent State NCAA,35,28,7,.800,7.53,-1.22,15,3,15,0,9,6,2665,2305,1405,957,2128,.450,275,818,.336,476,656,.726,386,1249,432,309,138,398,659,2023
Kentucky NCAA,34,22,12,.647,14.76,8.08,12,6,14,4,6,4,2532,2305,1370,929,2045,.454,213,613,.347,461,653,.706,472,1339,512,219,125,400,545,2023
La Salle,34,15,19,.441,-2.79,-0.02,7,11,8,8,5,8,2374,2468,1375,863,2037,.424,248,726,.342,400,577,.693,384,1217,408,229,110,427,606,2023
Lafayette,34,11,23,.324,-7.83,-4.53,7,11,5,7,5,16,2120,2232,1394,767,1881,.408,298,911,.327,288,460,.626,284,1106,528,196,101,396,523,2023
Lamar,31,9,22,.290,-17.40,-7.65,5,13,6,9,2,12,2104,2311,1250,761,1767,.431,178,556,.320,404,574,.704,364,1119,409,199,105,441,488,2023
Lehigh,30,16,14,.533,-9.08,-6.04,11,7,9,6,7,8,2094,2082,1200,752,1698,.443,205,584,.351,385,516,.746,203,1006,370,187,71,353,501,2023
Liberty,36,27,9,.750,8.36,-1.91,15,3,19,1,6,7,2689,2194,1440,963,2032,.474,376,1007,.373,387,532,.727,296,1219,580,226,82,373,540,2023
Lindenwood,32,11,21,.344,-14.80,-6.35,6,12,9,4,2,14,2226,2362,1305,804,1873,.429,239,664,.360,379,520,.729,288,1099,376,203,105,424,514,2023
Lipscomb,33,20,13,.606,-1.95,-4.02,11,7,13,2,7,11,2521,2343,1340,943,1983,.476,266,748,.356,369,496,.744,289,1198,466,177,92,399,460,2023
Little Rock,31,10,21,.323,-12.62,-6.97,6,12,8,5,2,16,2337,2461,1250,845,1907,.443,185,567,.326,462,632,.731,339,1107,460,209,72,418,609,2023
Long Beach State,33,17,16,.515,-0.58,-0.42,11,9,9,5,6,9,2524,2455,1355,949,2086,.455,146,494,.296,480,708,.678,429,1341,494,245,108,466,563,2023
Long Island University,29,3,26,.103,-24.46,-6.61,1,15,2,10,1,14,1935,2319,1160,720,1683,.428,142,420,.338,353,535,.660,275,1005,420,192,99,475,511,2023
Longwood,32,20,12,.625,-1.75,-6.35,12,6,12,3,8,8,2341,2119,1280,831,1837,.452,241,685,.352,438,607,.722,357,1111,398,206,70,380,531,2023
Louisiana NCAA,34,26,8,.765,4.27,-0.51,13,5,14,0,7,7,2630,2362,1365,950,1972,.482,239,635,.376,491,720,.682,377,1241,489,244,102,415,577,2023
Louisiana State,33,14,19,.424,3.32,6.44,2,16,10,8,0,9,2231,2334,1320,768,1875,.410,239,730,.327,456,632,.722,376,1156,406,223,88,405,560,2023
Louisiana Tech,33,15,18,.455,0.10,1.90,7,13,9,6,4,11,2383,2320,1350,854,1930,.442,281,814,.345,394,546,.722,359,1145,408,260,87,451,570,2023
Louisiana-Monroe,32,11,21,.344,-8.64,-0.57,7,11,7,8,4,10,2157,2235,1295,759,1860,.408,242,690,.351,397,557,.713,345,1124,403,220,114,405,484,2023
Louisville,32,4,28,.125,-5.39,6.45,2,18,4,13,0,11,2046,2425,1280,716,1700,.421,200,608,.329,414,559,.741,294,1031,299,145,90,478,527,2023
Loyola (IL),31,10,21,.323,-4.65,0.44,4,14,6,8,3,8,2089,2247,1255,757,1638,.462,220,658,.334,355,509,.697,233,960,428,175,94,464,601,2023
Loyola (MD),33,13,20,.394,-12.05,-6.14,7,11,9,6,3,13,2222,2331,1325,822,1821,.451,250,701,.357,328,509,.644,301,1035,459,247,78,446,517,2023
Loyola Marymount,31,19,12,.613,4.98,4.32,9,7,13,3,4,7,2335,2265,1255,832,1831,.454,289,792,.365,382,569,.671,328,1119,366,169,86,397,602,2023
Maine,30,13,17,.433,-8.88,-4.66,7,9,8,4,5,12,2054,2091,1215,784,1711,.458,198,595,.333,288,396,.727,232,924,415,284,62,371,446,2023
Manhattan,30,12,18,.400,-9.87,-4.94,10,10,5,9,6,7,2016,2112,1225,733,1682,.436,205,616,.333,343,520,.660,274,952,370,227,105,406,492,2023
